default 0
time(min),flow(gal/min)
0, 2.900
1, 3.000
2, 3.000
3, 3.000
4, 3.000
5, 3.000
6, 3.000
7, 3.000
8, 3.000
9, 2.017
28, 0.367
29, 1.000
30, 1.000
31, 1.000
32, 0.833
38, 0.383
39, 1.000
40, 1.000
41, 0.833
99, 1.433
100, 1.700
101, 1.700
102, 1.700
103, 1.700
104, 1.700
105, 1.700
106, 0.283
630, 2.833
631, 3.000
632, 3.000
633, 3.000
634, 3.000
635, 2.500
689, 1.433
690, 1.700
691, 1.700
692, 1.700
693, 1.183
718, 0.367
719, 1.000
720, 1.000
721, 0.833
763, 0.367
764, 1.000
765, 1.000
766, 0.833
768, 0.350
769, 1.000
770, 1.000
771, 0.833
958, 0.367
959, 1.000
960, 1.000
961, 1.000
962, 0.833
973, 0.367
974, 1.000
975, 1.000
976, 1.000
977, 0.833
989, 1.450
990, 1.700
991, 1.700
1004, 1.450
1005, 1.700
1006, 1.700
1020, 2.733
1021, 3.000
1022, 3.000
1023, 3.000
1024, 3.000
1025, 1.500
