Date,Time [s],T_amb_DB [°C],T_amb_WB [°C],RH [%],Power [W],Tank Temp #1 [°C],Tank Temp #2 [°C],Tank Temp #3 [°C],Tank Temp #4 [°C],Tank Temp #5 [°C],Tank Temp #6 [°C],T_water_in [°C],T_water_out [°C],Flow Rate [GPM]
12:00:10,10,10.1,6.0,58.6,1.8,52.2,52.3,52.0,51.8,51.0,47.4,10.5,17.4,3.065
12:00:20,20,10.2,6.0,58.4,1.6,52.2,52.3,52.0,51.8,51.1,44.2,10.6,51.8,3.046
12:00:30,30,10.2,6.1,58.6,1.8,52.3,52.3,52.0,51.8,51.1,43.2,10.6,51.9,2.982
12:00:40,40,10.1,6.0,58.5,1.6,52.2,52.3,52.0,51.8,50.6,42.8,10.6,51.9,2.937
12:00:50,50,10.1,6.0,58.3,1.8,52.1,52.3,52.0,51.8,50.3,41.5,10.5,52.0,2.942
12:01:00,60,10.1,5.9,58.1,1.6,52.1,52.3,52.0,51.7,49.7,41.1,10.6,52.0,2.961
12:01:10,70,10.1,5.9,58.3,1.8,52.2,52.3,51.9,51.8,48.0,39.8,10.5,52.0,3.027
12:01:20,80,10.1,5.9,58.2,1.6,52.3,52.3,51.9,51.7,47.0,39.3,10.6,52.0,3.044
12:01:30,90,10.2,6.0,58.3,1.8,52.2,52.3,51.9,51.7,45.8,38.5,10.6,52.0,2.982
12:01:40,100,10.1,6.0,58.3,1.6,52.1,52.3,51.9,51.7,43.9,38.2,10.5,52.0,3.022
12:01:50,110,10.2,6.0,58.2,1.7,52.1,52.3,51.9,51.7,43.0,37.1,10.6,52.0,3.033
12:02:00,120,10.2,6.0,58.1,1.6,52.2,52.3,51.9,51.5,41.1,36.3,10.6,52.0,3.005
12:02:10,130,10.2,6.0,57.9,1.7,52.2,52.3,51.8,51.4,40.1,35.3,10.6,52.0,3.039
12:02:20,140,10.2,6.0,58.1,1.5,52.3,52.3,51.8,51.5,39.0,34.8,10.5,52.0,3.009
12:02:30,150,10.2,6.0,57.9,1.7,52.2,52.3,51.8,51.5,38.8,34.2,10.5,52.0,2.967
12:02:40,160,10.2,6.0,57.8,1.6,52.1,52.3,51.8,51.5,37.7,33.6,10.5,52.0,3.026
12:02:50,170,10.2,6.0,57.7,7.6,52.1,52.2,51.7,51.5,37.1,33.4,10.5,52.0,2.985
